date,open,high,low,close,change,volume
2024-07-02,86.71,87.46,86.16,86.24,-0.42%,42915K
2024-07-03,86.44,87.39,85.89,87.34,1.28%,33482K
2024-07-04,87.09,87.59,86.51,87.43,0.10%,17904K
2024-07-05,87.45,87.95,86.49,86.54,-1.02%,26530K
2024-07-08,86.74,86.92,85.56,85.75,-0.91%,30358K
2024-07-09,85.67,85.85,84.53,84.66,-1.27%,35429K
2024-07-10,84.92,85.66,84.00,85.08,0.50%,40156K
2024-07-11,85.45,85.89,84.64,85.40,0.38%,33670K
2024-07-12,85.69,86.35,84.95,85.03,-0.43%,36393K
2024-07-15,85.10,85.37,84.42,84.85,-0.21%,22927K
2024-07-16,84.78,84.86,83.30,83.73,-1.32%,32785K
2024-07-17,83.66,85.20,83.43,85.08,1.61%,32540K
2024-07-18,85.23,85.81,84.22,85.11,0.04%,36832K
2024-07-19,84.72,85.35,82.56,82.63,-2.91%,36234K
2024-07-22,82.80,83.22,81.60,82.40,-0.28%,34172K
2024-07-23,82.25,82.79,80.51,81.01,-1.69%,38432K
2024-07-24,81.46,82.23,80.93,81.71,0.86%,29820K
2024-07-25,81.58,82.53,80.09,82.37,0.81%,33216K
2024-07-26,82.40,82.71,80.33,81.13,-1.51%,20495K
2024-07-29,81.30,81.74,79.36,79.78,-1.66%,13225K
2024-07-30,79.64,79.99,78.43,78.63,-1.44%,87.8K
2024-07-31,79.02,80.95,79.02,80.72,2.66%,12.9K
2024-08-01,81.44,81.80,79.43,79.52,-1.49%,36493K
2024-08-02,79.98,80.46,76.42,76.81,-3.41%,50131K
2024-08-05,77.61,77.74,75.05,76.30,-0.66%,55781K
2024-08-06,77.45,77.85,75.58,76.48,0.24%,39303K
2024-08-07,76.16,78.87,75.95,78.33,2.42%,44474K
2024-08-08,78.55,79.37,77.63,79.16,1.06%,32008K
2024-08-09,79.03,79.83,78.77,79.66,0.63%,21307K
2024-08-12,79.56,82.40,79.46,82.30,3.31%,32838K
2024-08-13,81.88,82.30,80.55,80.69,-1.96%,35646K
2024-08-14,81.00,81.44,79.60,79.76,-1.15%,35913K
2024-08-15,79.96,81.43,79.61,81.04,1.60%,27093K
2024-08-16,80.86,81.02,78.62,79.68,-1.68%,32091K
2024-08-19,79.60,79.81,77.48,77.66,-2.54%,36654K
2024-08-20,77.66,78.35,76.55,77.20,-0.59%,36714K
2024-08-21,77.13,78.21,75.65,76.05,-1.49%,32332K
2024-08-22,75.98,76.50,75.77,76.36,0.41%,0
